Product ID,Product Name,Category,Subcategory,Units Sold,Manufacturing Price (INR),Sale Price (INR),Profit (INR),Country,State,City,Date of Purchase,Ratings
329259,Vindum High-Pile Rug,Home Decor,Textiles,21,9001.57,11037.36,2035.79,India,Telangana,Hyderabad,26-06-2023,4.6
356788,Billy Bookshelf,Furniture,Living Room Furniture,6,6179.9,7799.69,1619.79,India,Telangana,Hyderabad,28-07-2024,4.6
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,20,5793.13,6106.59,313.46,India,Telangana,Hyderabad,23-03-2023,5
329259,Vindum High-Pile Rug,Home Decor,Textiles,30,9062.27,11362.47,2300.2,India,Maharashtra,Mumbai,04-03-2023,3.8
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,10,2375.32,5436.91,3061.59,India,Karnataka,Bangalore,24-06-2024,4.6
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,45,9915.1,12586.15,2671.05,India,Karnataka,Bangalore,24-07-2023,3.2
388390,Pax Wardrobe,Furniture,Bedroom Furniture,43,11177.78,13971.04,2793.26,India,Tamil Nadu,Chennai,19-09-2024,4.8
329259,Vindum High-Pile Rug,Home Decor,Textiles,33,9152.14,11768.36,2616.22,India,Telangana,Hyderabad,09-09-2023,4.5
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,17,6229.73,8201.05,1971.32,India,Tamil Nadu,Chennai,30-03-2023,4
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,29,3196.09,4219.53,1023.44,India,Delhi,New Delhi,22-11-2024,4.8
126226,Lack Coffee Table,Furniture,Living Room Furniture,10,5054.07,5711.18,657.11,India,Karnataka,Bangalore,27-07-2023,3.8
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,30,7436.53,9464.82,2028.29,India,West Bengal,Kolkata,01-12-2024,4.5
770488,Kivik Sofa,Furniture,Living Room Furniture,25,8325.79,10360.38,2034.59,India,West Bengal,Kolkata,16-04-2023,4.7
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,48,11046.74,13369.92,2323.18,India,West Bengal,Kolkata,19-11-2023,3.5
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,25,7344.75,9990.33,2645.58,India,Maharashtra,Mumbai,31-08-2023,4.7
388390,Pax Wardrobe,Furniture,Bedroom Furniture,35,2754.86,4968.7,2213.84,India,West Bengal,Kolkata,15-01-2024,3.2
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,30,3577.57,4569.55,991.98,India,Karnataka,Bangalore,04-06-2024,3.7
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,49,7910.54,8072.17,161.63,India,Delhi,New Delhi,05-11-2024,4.1
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,42,3186.47,5672.57,2486.1,India,Karnataka,Bangalore,07-11-2023,4.9
334054,Ingatorp Dining Table,Furniture,Dining Room Furniture,40,3473.09,4412.21,939.12,India,Maharashtra,Mumbai,03-06-2023,4.9
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,17,6878.58,9285.3,2406.72,India,Telangana,Hyderabad,11-11-2023,3.2
356788,Billy Bookshelf,Furniture,Living Room Furniture,7,2777.77,5457.52,2679.75,India,Delhi,New Delhi,30-10-2023,3.8
334054,Ingatorp Dining Table,Furniture,Dining Room Furniture,38,4681.8,7541.11,2859.31,India,Maharashtra,Mumbai,09-07-2023,4.2
877573,Malm Bed Frame,Furniture,Bedroom Furniture,3,7253.49,8383.69,1130.2,India,West Bengal,Kolkata,01-07-2024,4.3
770488,Kivik Sofa,Furniture,Living Room Furniture,32,3096.05,5422.48,2326.43,India,Tamil Nadu,Chennai,23-08-2023,3.9
388390,Pax Wardrobe,Furniture,Bedroom Furniture,12,10978.95,13000.47,2021.52,India,Tamil Nadu,Chennai,26-07-2024,4.1
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,28,5541.61,7779.1,2237.49,India,Tamil Nadu,Chennai,24-01-2025,3.6
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,49,9252.7,10927.78,1675.08,India,Karnataka,Bangalore,11-07-2024,4
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,32,4684.65,5631.5,946.85,India,Karnataka,Bangalore,14-06-2024,4.2
872247,Bekant Desk,Furniture,Office Furniture,1,10860.13,12428.7,1568.57,India,West Bengal,Kolkata,24-03-2023,4
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,31,9437.35,10051.69,614.34,India,Telangana,Hyderabad,15-05-2024,3.8
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,43,7492.52,9139.91,1647.39,India,Delhi,New Delhi,04-06-2024,4.5
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,45,8475.83,9094.25,618.42,India,Delhi,New Delhi,09-06-2023,3.4
877573,Malm Bed Frame,Furniture,Bedroom Furniture,35,3916.08,5576.99,1660.91,India,Telangana,Hyderabad,17-03-2024,4.2
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,19,3812.26,4978.39,1166.13,India,West Bengal,Kolkata,16-08-2024,3.6
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,18,3193.59,5418.46,2224.87,India,Karnataka,Bangalore,06-08-2023,3.3
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,1,6096.79,7126.22,1029.43,India,Maharashtra,Mumbai,03-06-2023,3.1
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,5,8048.49,10286.92,2238.43,India,Maharashtra,Mumbai,22-01-2024,3.3
198247,Ledberg LED Strip,Home Decor,Lighting,6,4802.9,7162.2,2359.3,India,Delhi,New Delhi,18-11-2023,4.6
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,25,9698.01,11321.09,1623.08,India,West Bengal,Kolkata,25-08-2023,3.9
198247,Ledberg LED Strip,Home Decor,Lighting,4,4020.18,4753.91,733.73,India,West Bengal,Kolkata,15-01-2025,4.3
356788,Billy Bookshelf,Furniture,Living Room Furniture,12,2042.07,4033.59,1991.52,India,Karnataka,Bangalore,08-06-2024,3.9
216740,Poang Armchair,Furniture,Living Room Furniture,19,6537.98,8593.8,2055.82,India,Karnataka,Bangalore,15-07-2024,4.8
198247,Ledberg LED Strip,Home Decor,Lighting,13,7694.55,8329.74,635.19,India,Telangana,Hyderabad,04-04-2024,3.5
388390,Pax Wardrobe,Furniture,Bedroom Furniture,4,4803.26,7344.31,2541.05,India,Maharashtra,Mumbai,17-07-2023,4.8
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,30,6881.47,9296.43,2414.96,India,Maharashtra,Mumbai,12-07-2024,4
126226,Lack Coffee Table,Furniture,Living Room Furniture,3,9047.07,10004.37,957.3,India,West Bengal,Kolkata,06-10-2023,3.5
198247,Ledberg LED Strip,Home Decor,Lighting,2,6067.49,7562.53,1495.04,India,West Bengal,Kolkata,12-11-2024,4
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,12,8910.57,9830.64,920.07,India,Delhi,New Delhi,15-09-2024,3.7
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,43,3928.47,5810.52,1882.05,India,Delhi,New Delhi,21-09-2024,3.6
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,3,8127.12,8737.56,610.44,India,West Bengal,Kolkata,12-03-2023,4.5
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,43,10312.95,11431.13,1118.18,India,Maharashtra,Mumbai,24-07-2023,4.2
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,29,1752.12,4431.29,2679.17,India,Telangana,Hyderabad,27-10-2024,3.9
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,2,5839.57,6333.04,493.47,India,Maharashtra,Mumbai,21-02-2023,3.8
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,30,3719.42,5815.68,2096.26,India,Maharashtra,Mumbai,14-10-2024,3.6
872247,Bekant Desk,Furniture,Office Furniture,31,8723.46,10317.53,1594.07,India,Tamil Nadu,Chennai,30-09-2023,4.8
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,9,2195.49,4210.38,2014.89,India,Telangana,Hyderabad,05-12-2023,4.9
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,1,6586.1,9002.16,2416.06,India,Delhi,New Delhi,23-08-2023,4.3
388390,Pax Wardrobe,Furniture,Bedroom Furniture,35,9125.25,11039.99,1914.74,India,Tamil Nadu,Chennai,20-03-2023,3.9
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,45,5555.6,7457.03,1901.43,India,Karnataka,Bangalore,10-07-2023,3.1
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,25,8801.83,11294.46,2492.63,India,Telangana,Hyderabad,06-01-2025,3.3
216740,Poang Armchair,Furniture,Living Room Furniture,33,7678.4,9870.3,2191.9,India,Karnataka,Bangalore,12-04-2024,4.1
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,47,3680.96,4971.85,1290.89,India,Maharashtra,Mumbai,08-12-2024,3.9
872247,Bekant Desk,Furniture,Office Furniture,40,8311.67,11294,2982.33,India,Delhi,New Delhi,07-08-2024,4.7
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,41,10238.77,10429.46,190.69,India,Delhi,New Delhi,29-09-2023,4.3
207474,Markus Office Chair,Furniture,Office Furniture,48,2847.94,4263.1,1415.16,India,Karnataka,Bangalore,12-07-2023,4.7
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,45,7212.85,8874.12,1661.27,India,Karnataka,Bangalore,20-06-2024,3.6
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,10,5562.33,7996.26,2433.93,India,Tamil Nadu,Chennai,19-02-2024,3.3
126226,Lack Coffee Table,Furniture,Living Room Furniture,25,5440.33,6779.44,1339.11,India,West Bengal,Kolkata,01-12-2023,4.3
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,43,2450.82,3723.96,1273.14,India,Delhi,New Delhi,15-12-2024,4.1
126226,Lack Coffee Table,Furniture,Living Room Furniture,23,6678.88,7815.54,1136.66,India,Tamil Nadu,Chennai,07-01-2025,4.7
334054,Ingatorp Dining Table,Furniture,Dining Room Furniture,31,2721.41,4728.92,2007.51,India,Tamil Nadu,Chennai,10-06-2024,5
207474,Markus Office Chair,Furniture,Office Furniture,43,7532.96,9753.45,2220.49,India,Maharashtra,Mumbai,19-01-2024,4.5
216740,Poang Armchair,Furniture,Living Room Furniture,48,10303.68,13209.56,2905.88,India,West Bengal,Kolkata,18-05-2023,3.5
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,41,4856.78,7315.28,2458.5,India,Karnataka,Bangalore,21-08-2023,4.3
388390,Pax Wardrobe,Furniture,Bedroom Furniture,7,1762.87,3583.25,1820.38,India,Telangana,Hyderabad,16-05-2023,4.5
126226,Lack Coffee Table,Furniture,Living Room Furniture,21,7658.28,8935.34,1277.06,India,Delhi,New Delhi,07-08-2023,4.9
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,18,3708.94,5909.67,2200.73,India,West Bengal,Kolkata,28-08-2024,4.6
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,30,2014.51,5184.54,3170.03,India,Maharashtra,Mumbai,08-04-2024,4.4
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,24,3560.36,4654.38,1094.02,India,West Bengal,Kolkata,21-03-2024,3.9
872247,Bekant Desk,Furniture,Office Furniture,25,6802.69,7203.47,400.78,India,West Bengal,Kolkata,20-08-2023,4.8
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,40,5421.3,7302.94,1881.64,India,Delhi,New Delhi,30-08-2024,4.4
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,9,3134.52,4576.32,1441.8,India,Maharashtra,Mumbai,26-04-2024,3.2
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,25,8674.02,11491.06,2817.04,India,Karnataka,Bangalore,26-12-2023,4.1
198247,Ledberg LED Strip,Home Decor,Lighting,47,4801.83,7451.6,2649.77,India,Telangana,Hyderabad,25-12-2024,4.2
872247,Bekant Desk,Furniture,Office Furniture,45,7004.54,8143.81,1139.27,India,Maharashtra,Mumbai,25-04-2024,3.7
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,42,6497.1,8847.34,2350.24,India,West Bengal,Kolkata,04-12-2023,4.9
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,43,5258.41,6196.84,938.43,India,Maharashtra,Mumbai,05-11-2023,4.6
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,37,3999.22,5561.27,1562.05,India,Karnataka,Bangalore,17-07-2023,3.4
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,50,4494.29,5942.81,1448.52,India,Delhi,New Delhi,15-05-2023,5
388390,Pax Wardrobe,Furniture,Bedroom Furniture,17,3577.85,5141.13,1563.28,India,West Bengal,Kolkata,27-02-2024,3.7
246317,Franklin Bar Stool,Furniture,Dining Room Furniture,21,1106.49,2668.52,1562.03,India,West Bengal,Kolkata,15-02-2024,4.1
126226,Lack Coffee Table,Furniture,Living Room Furniture,29,7457.48,8628.74,1171.26,India,Tamil Nadu,Chennai,08-04-2023,4.9
216740,Poang Armchair,Furniture,Living Room Furniture,43,9646.26,10673.57,1027.31,India,Telangana,Hyderabad,06-09-2024,5
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,44,3248.54,4760.07,1511.53,India,Tamil Nadu,Chennai,05-03-2023,3.2
329259,Vindum High-Pile Rug,Home Decor,Textiles,5,3117.03,5163.36,2046.33,India,Karnataka,Bangalore,26-11-2024,3.7
329259,Vindum High-Pile Rug,Home Decor,Textiles,19,8944.1,11175.59,2231.49,India,West Bengal,Kolkata,23-04-2023,3.2
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,14,8449.11,9469.71,1020.6,India,Telangana,Hyderabad,26-05-2023,3.9
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,7,6473.53,8219.79,1746.26,India,Telangana,Hyderabad,29-05-2024,3.3
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,6,2084.46,3706.9,1622.44,India,Maharashtra,Mumbai,01-06-2023,4.6
131245,Oumbarlig Saucepan,Kitchen and Dining,Cookware,38,7240.03,9603.46,2363.43,India,Maharashtra,Mumbai,04-10-2024,4.9
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,4,6412.82,8096.13,1683.31,India,Telangana,Hyderabad,09-07-2024,3.4
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,7,7926.75,10003.3,2076.55,India,Karnataka,Bangalore,21-12-2023,4.1
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,50,2147.99,4521.68,2373.69,India,West Bengal,Kolkata,05-05-2024,3.1
872247,Bekant Desk,Furniture,Office Furniture,49,7405.08,8294.43,889.35,India,Telangana,Hyderabad,18-03-2023,3.3
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,10,1185.52,2733.63,1548.11,India,Maharashtra,Mumbai,22-11-2023,3.9
356788,Billy Bookshelf,Furniture,Living Room Furniture,20,7367.67,8388.97,1021.3,India,Delhi,New Delhi,20-11-2023,3.1
356788,Billy Bookshelf,Furniture,Living Room Furniture,4,2380.21,4344.44,1964.23,India,West Bengal,Kolkata,04-05-2024,3.9
872247,Bekant Desk,Furniture,Office Furniture,49,9121.64,10333,1211.36,India,Karnataka,Bangalore,26-01-2024,4.4
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,43,5643.83,7435.38,1791.55,India,West Bengal,Kolkata,13-03-2024,3
207474,Markus Office Chair,Furniture,Office Furniture,50,4276.32,4950.46,674.14,India,Karnataka,Bangalore,11-08-2023,4
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,9,7794.16,9256.77,1462.61,India,Karnataka,Bangalore,01-04-2024,4.3
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,26,2065.44,2910.8,845.36,India,Maharashtra,Mumbai,26-11-2024,3.6
191162,Samla Storage Box,Storage and Organization,Boxes and Baskets,26,7922.03,10461.98,2539.95,India,West Bengal,Kolkata,05-02-2023,3.3
329259,Vindum High-Pile Rug,Home Decor,Textiles,45,6604.26,8357.62,1753.36,India,Tamil Nadu,Chennai,09-07-2024,4.2
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,26,7074.61,8965.2,1890.59,India,Maharashtra,Mumbai,09-08-2024,3.2
877573,Malm Bed Frame,Furniture,Bedroom Furniture,33,5487.85,7466.67,1978.82,India,West Bengal,Kolkata,26-04-2023,4.6
388390,Pax Wardrobe,Furniture,Bedroom Furniture,7,3410.94,3976.93,565.99,India,Karnataka,Bangalore,10-07-2024,4.5
126226,Lack Coffee Table,Furniture,Living Room Furniture,50,9522.91,11527.45,2004.54,India,Karnataka,Bangalore,15-12-2024,4.4
198247,Ledberg LED Strip,Home Decor,Lighting,41,7523.49,8766.23,1242.74,India,Telangana,Hyderabad,20-03-2024,3.1
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,20,6182.84,6859.13,676.29,India,Telangana,Hyderabad,02-09-2024,3.9
216740,Poang Armchair,Furniture,Living Room Furniture,24,5356.46,8363.42,3006.96,India,Maharashtra,Mumbai,23-08-2023,4.2
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,30,2071.47,4589.87,2518.4,India,Tamil Nadu,Chennai,15-09-2024,3.6
542418,Vardagen Frying Pan,Kitchen and Dining,Cookware,10,2414.05,5305.25,2891.2,India,West Bengal,Kolkata,08-06-2024,5
126226,Lack Coffee Table,Furniture,Living Room Furniture,42,3405.28,6448.68,3043.4,India,West Bengal,Kolkata,19-10-2023,4
329259,Vindum High-Pile Rug,Home Decor,Textiles,24,8443.87,10573.92,2130.05,India,Karnataka,Bangalore,24-04-2023,4.4
216740,Poang Armchair,Furniture,Living Room Furniture,42,6113.82,7612.34,1498.52,India,Telangana,Hyderabad,12-09-2023,3.6
329259,Vindum High-Pile Rug,Home Decor,Textiles,22,3000.48,3912.26,911.78,India,Karnataka,Bangalore,31-12-2023,4.9
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,39,2507.16,4655.5,2148.34,India,Karnataka,Bangalore,30-05-2023,4.6
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,42,8453.98,9099.06,645.08,India,Maharashtra,Mumbai,15-01-2024,4.9
809571,Applaro Outdoor Set,Furniture,Outdoor Furniture,13,6210.95,7034.95,824,India,Tamil Nadu,Chennai,30-01-2023,4.6
133327,Ikea 365 Plate Set,Kitchen and Dining,Dinnerware,48,9201.49,11239.25,2037.76,India,West Bengal,Kolkata,10-08-2024,3.3
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,11,5124.69,7899.42,2774.73,India,Karnataka,Bangalore,08-12-2024,3.3
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,27,7820.73,9065.42,1244.69,India,Maharashtra,Mumbai,08-08-2024,3.6
719177,Trofast Storage Unit,Storage and Organization,Storage Furniture,35,5036.94,7187.91,2150.97,India,Karnataka,Bangalore,20-08-2023,4.7
876647,Hemnes Nightstand,Furniture,Bedroom Furniture,37,8641.36,9827.76,1186.4,India,Telangana,Hyderabad,20-02-2024,4.1
356788,Billy Bookshelf,Furniture,Living Room Furniture,39,4513,5552.45,1039.45,India,Karnataka,Bangalore,10-09-2024,3.7
877573,Malm Bed Frame,Furniture,Bedroom Furniture,34,3112.13,4802.39,1690.26,India,Telangana,Hyderabad,15-06-2023,4.8
388390,Pax Wardrobe,Furniture,Bedroom Furniture,6,5770.41,8958.3,3187.89,India,Tamil Nadu,Chennai,26-02-2024,3.8
671859,Raskog Utility Cart,Storage and Organization,Kitchen Storage,24,5134.33,5705.82,571.49,India,West Bengal,Kolkata,05-01-2025,3.6
